Savkiv 4	PZ-46	400045	31.12.2000	460046 346000 200100 100100 999999 
Melnyk 4	GR-12	202020	11.11.2001	123456 198765 135791 163842 122422 
Shevchenko 1	GR-12	309030	10.11.2001	123456 198765 135791 163842 122422 
Boyko 1	GR-12	307030	10.11.2001	123456 198765 135791 163842 122422 
Kovalenko 1	GR-12	301030	09.11.2001	123456 198765 135791 163842 122422 
Bondarenko 1	GR-12	403030	08.11.2001	123456 198765 135791 163842 122422 
Tkachenko 1	GR-12	503030	07.11.2001	123456 198765 135791 163842 122422 
Kovalchuk 1	GR-12	333030	06.11.2001	123456 198765 135791 163842 122422 
Kravchenko 1	GR-12	703030	05.11.2001	123456 198765 135791 163842 122422 
Oliynyk 1	GR-12	903030	04.11.2001	123456 198765 135791 163842 122422 
Shevchuk 1	GR-12	113030	03.11.2001	123456 198765 135791 163842 122422 
Koval 1	GR-12	233030	02.11.2001	123456 198765 135791 163842 122422 
Polishchuk 1	GR-12	333330	01.11.2001	123456 198765 135791 163842 122422 
Bondar 1	GR-12	212030	12.11.2001	123456 198765 135791 163842 122422 
Tkachuk 1	GR-12	234230	13.11.2001	123456 198765 135791 163842 122422 
Moroz 1	GR-12	233020	15.11.2001	123456 198765 135791 163842 122422 
Belnyk 1	GR-15	122020	11.11.2002	359833 845130 345454 354681 247289 
Gevchenko 1	GR-15	123030	10.11.2002	359833 845130 345454 354681 247289 
Royko 1	GR-15	132030	10.11.2002	359833 845130 345454 354681 247289 
Tovalenko 1	GR-16	000030	09.11.2002	359833 845130 345454 354681 247289 
Vondarenko 1	GR-16	403031	08.11.2002	359833 845130 345454 354681 247289 
Ltachenko 1	GR-16	503032	07.11.2002	359833 845130 345454 354681 247289 
Dovalchuk 1	GR-15	333033	06.11.2002	359833 845130 345454 354681 247289 
Bravchenko 1	GR-15	703034	05.11.2002	359833 845130 345454 354681 247289 
Iliynyk 1	GR-15	903035	04.11.2002	359833 845130 345454 354681 247289 
Zhevchuk 1	GR-15	113036	03.11.2002	359833 845130 345454 354681 247289 
Doval 1	GR-11	233037	02.11.2002	359833 845130 345454 354681 247289 
Folishchuk 1	GR-15	333338	01.11.2002	359833 845130 345454 354681 247289 
Londar 1	GR-16	212090	12.11.2002	359833 845130 345454 354681 247289 
Pachuk 1	GR-15	234212	13.11.2002	359833 845130 345454 354681 247289 
Poroz 1	GR-16	233011	15.11.2002	359833 845130 345454 354681 247289 
Volnyk 1	GD-16	122021	11.11.2002	401233 460030 100100 655655 232323 
Vovchenko 1	GD-16	123130	10.11.2002	401233 460030 100100 655655 232323 
Voyko 1	GD-16	132031	10.11.2002	401233 460030 100100 655655 232323 
Vovalenko 1	GD-16	002030	09.11.2002	401233 460030 100100 655655 232323 
Vorenko 1	GD-16	403331	08.11.2002	401233 460030 100100 655655 232323 
Vochenko 1	GD-16	505032	07.11.2002	401233 460030 100100 655655 232323 
Vovalchuk 1	GD-16	363033	06.11.2002	401233 460030 100100 655655 232323 
Bravoko 1	GD-16	703734	05.11.2002	401233 460030 100100 655655 232323 
Iliyvok 1	GD-16	903835	04.11.2002	401233 460030 100100 655655 232323 
Zhevomchuk 1	GD-16	613036	03.11.2002	401233 460030 100100 655655 232323 
Dovol 1	GD-16	233027	02.11.2002	401233 460030 100100 655655 232323 
Fovoshchuk 1	GD-16	313338	01.11.2002	401233 460030 100100 655655 232323 
Vondar 1	GD-16	212590	12.11.2002	401233 460030 100100 655655 232323 
Pavouk 1	GD-16	234512	13.11.2002	401233 460030 100100 655655 232323 
Voroz 1	GD-16	233071	15.11.2002	401233 460030 100100 655655 232323 
Marchenko 2	PZ-22	000001	11.01.2001	204014 239423 282045 273934 247289 
Lysenko 2	PZ-22	000002	11.02.2001	204014 239423 282045 273934 247289 
Rudenko 2	PZ-22	000003	11.03.2001	204014 239423 282045 273934 247289 
Savchenko 2	PZ-22	000004	11.04.2001	204014 239423 282045 273934 247289 
Petrenko 2	PZ-22	000005	11.05.2001	204014 239423 282045 273934 247289 
Tychynskia 2	PZ-22	000006	11.06.2001	204014 239423 282045 273934 247289 
Bartkiv 2	PZ-22	000007	11.07.2001	204014 239423 282045 273934 247289 
Vovchak 2	PZ-22	000008	11.08.2001	204014 239423 282045 273934 247289 
Vycklynez 2	PZ-22	000009	11.09.2001	204014 239423 282045 273934 247289 
Yavorska 2	PZ-22	000010	11.10.2001	204014 239423 282045 273934 247289 
Kadobianskyi 2	PZ-22	000011	11.11.2001	204014 239423 282045 273934 247289 
Grycuk 2	PZ-22	000012	11.12.2001	204014 239423 282045 273934 247289 
Lomatenko 2	PZ-22	000013	01.11.2001	204014 239423 282045 273934 247289 
Kurchenko 2	PZ-22	000014	02.11.2001	204014 239423 282045 273934 247289 
Frolenko 2	PZ-22	000015	03.11.2001	204014 239423 282045 273934 247289 
Zhuravlenko 2	PZ-22	000016	04.11.2001	204014 239423 282045 273934 247289 
Nykolyshak 2	PZ-22	000017	05.11.2001	204014 239423 282045 273934 247289 
Mazkiv 2	PZ-22	000018	06.11.2001	204014 239423 282045 273934 247289 
Yatsykovych 2	PZ-22	000019	07.11.2001	204014 239423 282045 273934 247289 
Chipko 2	PZ-22	000020	08.11.2001	204014 239423 282045 273934 247289 
Rarchenko 2	PZ-24	000011	11.01.2001	283484 299999 200000 211111 244444 
Hysenko 2	PZ-24	000012	11.02.2001	283484 299999 200000 211111 244444 
Nudenko 2	PZ-25	000013	11.03.2001	283484 299999 200000 211111 244444 
Mavchenko 2	PZ-25	000014	11.04.2001	283484 299999 200000 211111 244444 
Yetrenko 2	PZ-25	000015	11.05.2001	283484 299999 200000 211111 244444 
Nychynskia 2	PZ-25	000016	11.06.2001	283484 299999 200000 211111 244444 
Rartkiv 2	PZ-23	000017	11.07.2001	283484 299999 200000 211111 244444 
Lovchak 2	PZ-23	000018	11.08.2001	283484 299999 200000 211111 244444 
Lycklynez 2	PZ-24	000019	11.09.2001	283484 299999 200000 211111 244444 
Pavorskia 2	PZ-24	000110	11.10.2001	283484 299999 200000 211111 244444 
Padobianskyi 2	PZ-24	000111	11.11.2001	283484 299999 200000 211111 244444 
Brycuk 2	PZ-24	000112	11.12.2001	283484 299999 200000 211111 244444 
Homatenko 2	PZ-25	000113	01.11.2001	283484 299999 200000 211111 244444 
Turchenko 2	PZ-25	000114	02.11.2001	283484 299999 200000 211111 244444 
Rrolenko 2	PZ-24	000115	03.11.2001	283484 299999 200000 211111 244444 
Ghuravlenko 2	PZ-23	000116	04.11.2001	283484 299999 200000 211111 244444 
Hykolyshak 2	PZ-23	000117	05.11.2001	283484 299999 200000 211111 244444 
Kazkiv 2	PZ-25	000118	06.11.2001	283484 299999 200000 211111 244444 
Katsykovych 2	PZ-24	000119	07.11.2001	283484 299999 200000 211111 244444 
Ahipko 2	PZ-23	000120	08.11.2001	283484 299999 200000 211111 244444 
Kurchenko 2	PZ-26	000011	11.01.2002	123456 482944 200100 435422 875135 
Kusenko 2	PZ-26	000012	11.02.2002	123456 482944 200100 435422 875135 
Kuenko 2	PZ-26	000013	11.03.2002	123456 482944 200100 435422 875135 
Makuhenko 2	PZ-26	000014	11.04.2002	123456 482944 200100 435422 875135 
Kutrenko 2	PZ-26	000015	11.05.2002	123456 482944 200100 435422 875135 
Kuchynskia 2	PZ-26	000016	11.06.2002	123456 482944 200100 435422 875135 
Rakukiv 2	PZ-26	000017	11.07.2002	123456 482944 200100 435422 875135 
Lokuhak 2	PZ-26	000018	11.08.2002	123456 482944 200100 435422 875135 
Lykulynez 2	PZ-26	000019	11.09.2002	123456 482944 200100 435422 875135 
Pakurskia 2	PZ-26	000110	11.10.2002	123456 482944 200100 435422 875135 
Pakubianskyi 2	PZ-21	000111	11.11.2002	123456 482944 200100 435422 875135 
Brulukuk 2	PZ-21	000112	11.12.2002	123456 482944 200100 435422 875135 
Hokutenko 2	PZ-21	000113	01.11.2002	123456 482944 200100 435422 875135 
Tukuhenko 2	PZ-21	000114	02.11.2002	123456 482944 200100 435422 875135 
Rrokunko 2	PZ-21	000115	03.11.2002	123456 482944 200100 435422 875135 
Ghukuvlenko 2	PZ-22	000116	04.11.2002	123456 482944 200100 435422 875135 
Kukolyshak 2	PZ-22	000117	05.11.2002	123456 482944 200100 435422 875135 
Kuzkiv 2	PZ-21	000118	06.11.2002	123456 482944 200100 435422 875135 
Kutsykovych 2	PZ-21	000119	07.11.2002	123456 482944 200100 435422 875135 
Akupko 2	PZ-21	000120	08.11.2002	123456 482944 200100 435422 875135 
Kasko 3	PZ-31	300000	27.11.2001	305845 359833 389059 312385 309599 
Bilan 3	PZ-36	300001	12.12.2002	305845 359833 389059 312385 309599 
